sqft_living,sqft_lot,floors,sqft_above
1180,5650,1.0,1180
2570,7242,2.0,2170
770,10000,1.0,770
1960,5000,1.0,1050
1680,8080,1.0,1680
5420,101930,1.0,3890
1715,6819,2.0,1715
1060,9711,1.0,1060
1780,7470,1.0,1050
1890,6560,2.0,1890
3560,9796,1.0,1860
1160,6000,1.0,860
1430,19901,1.5,1430
1370,9680,1.0,1370
1810,4850,1.5,1810
2950,5000,2.0,1980
1890,14040,2.0,1890
1600,4300,1.5,1600
1200,9850,1.0,1200
1250,9774,1.0,1250
1620,4980,1.0,860
3050,44867,1.0,2330
2270,6300,2.0,2270
1070,9643,1.0,1070
2450,6500,2.0,2450
1710,4697,1.5,1710
2450,2691,2.0,1750
1400,1581,1.5,1400
1520,6380,1.0,790
2570,7173,2.0,2570
2320,3980,2.0,2320
1190,1265,3.0,1190
2330,5000,1.5,1510
1090,3000,1.5,1090
2060,6659,1.0,1280
2300,3060,1.5,1510
1660,34848,1.0,930
2360,6000,2.0,2360
1220,8075,1.0,890
2620,7553,2.0,2620
2570,5520,2.0,2570
4220,24186,1.0,2600
3595,5639,2.0,3595
1570,2280,2.0,1570
1280,9656,1.0,920
3160,13603,2.0,3160
990,8528,1.0,990
2290,13416,2.0,2290
1250,5963,1.0,1250
2753,65005,1.0,2165
1190,9199,1.0,1190
3150,9134,1.0,1640
1410,4080,1.0,1000
1980,8550,1.0,990
2730,6000,1.5,2130
2830,5000,2.0,2830
2250,4495,2.0,2250
2420,4750,2.0,2420
3250,14342,2.0,3250
1850,9976,2.0,1850
2150,21235,1.0,1590
1260,8400,1.0,1260
2519,8690,2.0,2519
1540,1044,3.0,1540
1660,6000,1.0,1110
2770,3809,1.5,1770
2720,11049,2.0,2720
2240,4648,2.0,2240
1000,12070,1.0,1000
3200,20158,1.0,1600
4770,50094,1.0,3070
1260,5612,1.0,1260
2750,7807,1.5,2250
2380,5000,2.0,2380
1790,50529,1.0,1090
3430,35102,2.0,2390
1760,7300,1.0,880
1040,5060,1.0,1040
1410,5060,1.0,910
3450,39683,2.0,3450
2350,5100,2.0,2350
1900,5889,2.0,1900
2020,6720,1.0,1010
1680,8712,1.0,1680
960,6634,1.0,960
2140,3600,2.0,1900
2660,8400,1.5,2660
2770,6278,2.0,1980
1610,2040,2.0,1610
1030,1066,2.0,765
1980,7403,2.0,1980
3520,6353,2.0,3520
1200,10500,1.0,1200
1580,5000,1.0,1290
1580,5000,1.0,1290
3300,10250,1.0,2390
1960,15681,1.0,1960
1160,6400,1.0,1160
1810,41800,1.0,1210
2320,36847,2.0,2320
2070,13241,1.5,1270
1980,3478,1.5,1440
2190,107593,2.0,2190
2920,8113,2.0,2920
1210,33919,1.0,1210
2340,10005,1.0,1460
1670,4005,1.5,1170
1240,2493,1.0,1240
3140,28037,2.0,3140
2030,12342,2.0,2030
2310,9624,2.0,2310
1260,3328,1.0,700
1540,12600,1.0,1160
2080,5969,1.0,1080
3230,16171,2.0,2520
4380,6350,2.0,2780
1590,1102,3.0,1590
880,6780,1.0,880
1570,9600,1.0,1570
1610,2982,1.5,1610
2400,6474,1.0,1560
1450,9132,1.0,1450
770,6000,1.0,770
